Designator,Mid X,Mid Y,Rotation,Layer
C1,108.5,-54.182323,-90.0,top
C10,127.762,-117.4496,180.0,top
C11,98.9356,-108.3564,0.0,top
C12,86.2584,-107.1372,90.0,top
C13,119.85,-54.182323,-90.0,top
C2,111.5,-75.45,-90.0,top
C3,98.9,-109.85,0.0,top
C4,101.75,-75.75,90.0,top
C5,85.6996,-109.22,180.0,top
C6,99.568,-104.394,180.0,top
C7,101.0412,-109.474,180.0,top
C8,99.314,-59.69,180.0,top
C9,125.4024,-74.2696,0.0,top
D1,133.05,-87.25,0.0,top
D10,133.0,-91.25,0.0,top
D11,133.0,-95.25,0.0,top
D12,133.0,-99.0,0.0,top
D13,132.95,-103.0,0.0,top
D14,133.0,-107.0,0.0,top
D15,133.0,-111.25,0.0,top
D16,133.05,-115.57,0.0,top
D17,128.5,-58.7,90.0,top
D18,75.2348,-117.8052,0.0,top
D2,124.206,-86.614,180.0,top
D3,124.206,-90.678,180.0,top
D4,124.206,-94.742,180.0,top
D5,124.206,-98.552,180.0,top
D6,124.206,-102.616,180.0,top
D7,124.206,-106.68,180.0,top
D8,124.206,-110.744,180.0,top
D9,124.206,-114.808,180.0,top
F1,127.42,-67.98,180.0,top
J1,143.195,-87.315,-90.0,top
J10,79.5986,-104.2516,0.0,top
J11,90.875,-126.825,90.0,top
J12,79.5986,-117.7694,0.0,top
J13,133.75,-67.5,0.0,top
J14,69.6,-122.175,0.0,top
J15,114.02,-104.8,90.0,top
J2,145.1,-61.915,-90.0,top
J3,134.25,-58.25,0.0,top
J4,58.02,-75.4,90.0,top
J5,53.109,-113.284,90.0,top
J6,47.86,-75.4,90.0,top
J7,38.869,-113.284,90.0,top
J8,37.7,-75.4,90.0,top
J9,38.859,-126.434,90.0,top
Q1,48.159,-120.434,-90.0,top
Q10,77.75,-70.0,-90.0,top
Q11,65.25,-70.0,-90.0,top
Q12,71.5,-70.0,-90.0,top
Q13,84.0,-55.75,-90.0,top
Q14,77.75,-55.75,-90.0,top
Q15,65.25,-55.75,-90.0,top
Q16,71.5,-55.75,-90.0,top
Q17,107.65,-92.6,0.0,top
Q18,107.6,-96.25,0.0,top
Q19,107.6,-99.85,0.0,top
Q2,55.779,-120.434,-90.0,top
Q20,107.6,-103.5,0.0,top
Q3,69.114,-105.194,-90.0,top
Q4,62.469,-105.194,-90.0,top
Q5,69.114,-93.764,-90.0,top
Q6,62.469,-93.764,-90.0,top
Q7,68.909,-82.284,-90.0,top
Q8,62.659,-82.284,-90.0,top
Q9,84.0,-70.0,-90.0,top
R1,123.5456,-88.646,180.0,top
R10,138.25,-68.0,180.0,top
R11,138.265,-70.485,180.0,top
R12,138.265,-73.025,180.0,top
R13,138.265,-75.565,180.0,top
R14,138.265,-78.105,180.0,top
R15,138.265,-80.645,180.0,top
R16,138.265,-83.185,180.0,top
R17,127.76,-86.106,0.0,top
R18,127.762,-90.17,0.0,top
R19,127.762,-94.234,0.0,top
R2,123.5436,-92.71,180.0,top
R20,127.76,-98.044,0.0,top
R21,127.762,-102.108,0.0,top
R22,127.76,-106.172,0.0,top
R23,127.76,-110.236,0.0,top
R24,127.76,-114.3,0.0,top
R25,85.9536,-114.6556,90.0,top
R26,97.7,-52.8,180.0,top
R27,29.709,-113.284,0.0,top
R28,29.709,-109.284,0.0,top
R29,29.709,-105.384,0.0,top
R3,123.5476,-96.6216,180.0,top
R30,29.709,-101.384,0.0,top
R31,29.709,-97.384,0.0,top
R32,29.709,-93.484,0.0,top
R33,29.709,-89.484,0.0,top
R34,29.709,-81.534,0.0,top
R35,60.224,-121.069,0.0,top
R36,60.224,-118.529,0.0,top
R37,73.559,-105.829,0.0,top
R38,73.559,-103.289,0.0,top
R39,73.684,-94.399,0.0,top
R4,123.5476,-100.584,180.0,top
R40,73.684,-91.859,0.0,top
R41,73.559,-83.604,0.0,top
R42,73.434,-80.429,0.0,top
R43,88.9,-76.962,0.0,top
R44,88.9,-75.692,0.0,top
R45,88.898,-73.66,0.0,top
R46,88.9,-72.39,0.0,top
R47,88.9,-67.056,0.0,top
R48,88.9,-65.786,0.0,top
R49,88.9,-70.358,0.0,top
R5,123.5456,-104.6988,180.0,top
R50,88.898,-69.088,0.0,top
R51,88.898,-60.452,0.0,top
R52,88.9,-59.182,0.0,top
R53,88.898,-63.754,0.0,top
R54,88.9,-62.484,0.0,top
R55,88.9,-53.975,0.0,top
R56,88.9,-52.705,0.0,top
R57,88.898,-57.15,0.0,top
R58,88.9,-55.88,0.0,top
R59,29.72,-75.365,180.0,top
R6,123.5476,-108.712,180.0,top
R60,29.72,-73.46,180.0,top
R61,29.72,-71.555,180.0,top
R62,29.72,-69.65,180.0,top
R63,29.72,-67.745,180.0,top
R64,29.72,-65.84,180.0,top
R65,29.72,-63.935,180.0,top
R66,29.72,-62.03,180.0,top
R67,104.95,-91.84,90.0,top
R68,75.2348,-120.2944,0.0,top
R69,75.2348,-122.8344,0.0,top
R7,123.5456,-112.776,180.0,top
R70,104.95,-95.51,90.0,top
R71,104.95,-99.1,90.0,top
R72,104.95,-102.8,90.0,top
R8,124.208,-116.586,180.0,top
R9,138.25,-65.5,180.0,top
U1,125.984,-123.444,0.0,top
U2,129.286,-78.8416,90.0,top
U3,106.8,-79.05,-90.0,top
U4,92.2528,-109.5756,180.0,top
U5,83.719,-96.939,-90.0,top
U6,97.536,-65.786,0.0,top
U7,83.084,-86.144,180.0,top
Y1,102.2096,-107.1372,180.0,top
